Country,0
Albania,7
Andorra,1
Armenia,1
Austria,14
Azerbaijan,1
Belarus,1
Belgium,14
Bosnia and Herzegovina,3
Bulgaria,14
Croatia,14
Cyprus,14
Czechia,14
Denmark,14
Estonia,14
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",6
Euro area - 12 countries (2001-2006),5
Euro area - 19 countries  (2015-2022),8
Euro area – 20 countries (from 2023),8
"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1
"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",1
European Free Trade Association,1
European Union - 27 countries (2007-2013),1
European Union - 27 countries (from 2020),9
European Union - 28 countries (2013-2020),1
Finland,14
France,14
Georgia,2
Germany,14
Germany including former GDR,1
Greece,14
Hungary,14
Iceland,13
Ireland,14
Italy,14
Japan,0
Kosovo*,3
Latvia,14
Liechtenstein,1
Lithuania,14
Luxembourg,14
Malta,8
Metropolitan France,1
Moldova,2
Monaco,1
Montenegro,8
Netherlands,14
North Macedonia,11
Norway,13
Poland,14
Portugal,14
Romania,14
Russia,1
San Marino,1
Serbia,8
Slovakia,14
Slovenia,14
Spain,14
Sweden,14
Switzerland,9
Türkiye,7
Ukraine,2
United Kingdom,4
United States,0
